Distance (m),Elevation (m)
8486.519202,267.3856201
8497.012533,265.2219238
8507.505864,265.2219238
8517.999195,259.7568359
8528.492525,260.4607849
8538.985856,263.3797607
8549.479187,264.6722412
8559.972518,265.4986572
8570.465849,262.546936
8580.95918,262.546936
8591.452511,263.5054626
8601.945842,266.8389282
8612.439172,267.7200012
8622.932503,266.9406738
8633.425834,266.6864624
8643.919165,266.6864624
8654.412496,265.4281921
8664.905827,268.5470276
8675.399158,269.4367981
8689.493746,270.2294006
8703.588335,269.0755005
8717.682923,270.2805481
8731.777512,266.8552856
8745.8721,265.3518066
8759.966689,265.1764526
8774.061278,266.0386047
8788.155866,263.8857117
8802.250455,263.8857117
8816.345043,269.8075256
8830.439632,263.650177
8844.53422,262.0794678
8858.628809,263.3493347
8872.723397,264.5227661
8886.817986,264.7285156
8900.912574,263.8960266
8915.007163,262.6939087
8929.101752,271.3270874
8943.19634,268.4149475
8957.290929,268.6364746
8971.385517,267.2254639
8985.480106,270.2807007
8996.001552,269.3760986
9006.522998,267.0142822
9017.044444,267.6818237
9027.56589,267.603363
9038.087336,268.4992676
9048.608782,269.0053101
9059.130228,269.0053101
9069.651674,272.6291809
9080.17312,267.4372253
9090.694566,271.6400146
9101.216012,270.6125488
9111.737458,270.1404724
9122.258904,270.1404724
9132.780351,270.0049133
9143.301797,269.8871155
9153.823243,270.2934875
9164.344689,270.9328613
9174.866135,270.9454041
9185.387581,269.7624817
9195.909027,269.7624817
9206.430473,263.5934143
9216.951919,268.4227905
9227.473365,272.5820618
9237.994811,274.3028564
9248.516257,271.1731567
9259.037703,275.3587341
9269.559149,280.1047363
9280.080595,282.9491882
9290.602041,277.2966003
9301.123487,300.3997498
9311.552638,290.9680786
9321.981789,284.9674988
9332.41094,282.3450623
9342.840091,282.3450623
9353.269242,277.1135254
9363.698393,277.3770447
9374.127544,274.7178345
9384.556694,271.0713806
9394.985845,271.0713806
9405.414996,266.3978577
9415.844147,267.4998779
9426.273298,274.1380005
9436.702449,275.3635254
9447.1316,274.846405
9457.560751,274.571167
9467.989902,274.2733459
9478.419052,274.7116699
9488.848203,274.5556946
9499.277354,274.5556946
9509.706505,273.8806763
9520.135656,273.5634155
9530.564807,273.2286987
9540.993958,272.4230042
9551.423109,272.4230042
9561.85226,274.9838867
9572.28141,276.9619141
9582.710561,277.6454468
9593.139712,277.2614136
9603.568863,279.20224
9613.998014,281.4815369
9624.427165,281.1451111
9634.856316,283.8291016
9645.285467,288.8742065
9655.714617,288.8742065
9666.143768,292.5488281
9676.572919,291.5218506
9687.00207,291.1178589
9697.431221,290.5235596
9707.860372,288.6868591
9718.289523,288.6868591
9728.718674,285.0006409
9739.147825,282.1318665
9749.576975,282.0403748
9760.006126,280.288208
9770.414392,281.8792419
9780.822657,282.0617371
9791.230922,282.0617371
9801.639187,281.8502808
9812.047453,281.5054016
9822.455718,280.6954651
9832.863983,280.5983276
9843.272248,281.7697144
9853.680514,281.7697144
9864.088779,282.1973572
9874.497044,281.2986145
9884.905309,280.122406
9895.313575,279.2348633
9905.72184,279.1128235
9916.130105,279.1128235
9926.53837,278.7322693
9936.946636,278.5852051
9947.354901,278.2243042
9957.763166,277.4614563
9968.171431,276.1869507
9978.579697,277.0166931
9988.987962,277.0166931
9999.396227,278.713623
10009.80449,278.4697266
10020.21276,281.5769348
10030.62102,282.3686218
10041.02929,283.7220154
10051.43755,284.0751038
10061.84582,284.0751038
10072.25408,284.8551941
10082.66235,285.4513245
10093.07061,285.5929871
10103.47888,286.0520325
10113.88714,286.2125549
10124.29541,286.2125549
10134.70368,285.7790833
10145.11194,285.8222961
10155.52021,282.9651184
10165.92847,280.0148621
10176.33674,279.7005615
10186.745,279.7005615
10197.15327,280.7848816
10207.56153,280.3108826
10217.9698,279.9810181
10228.37806,280.332428
10238.78633,280.7893372
10249.19459,281.3952026
10259.60286,280.7164917
10270.01112,281.8006897
10280.41939,283.276886
10290.82765,273.4377441
10301.23592,279.2368469
10311.64418,280.7947693
10322.05245,280.7947693
10332.46072,283.2389526
10342.86898,285.5311584
10353.27725,290.8368225
10363.73858,284.4888306
10374.19991,284.2319336
10384.66125,284.2319336
10395.12258,283.5998535
10405.58391,283.0377502
10416.04524,275.5302124
10426.50658,279.1860657
10436.96791,279.1860657
10447.42924,278.1220093
10457.89058,278.7548218
10468.35191,281.4524536
10478.81324,281.7346802
10489.27458,281.7346802
10499.73591,275.01651
10510.19724,277.6516113
10520.65858,282.3843384
10531.11991,281.9847717
10541.58124,283.1002502
10552.04258,283.1002502
10562.50391,280.4673767
10572.96524,282.2648621
10583.42658,281.7867432
10593.88791,282.4118958
10604.34924,282.4118958
10614.81058,275.9920044
10625.27191,282.8043213
10635.73324,282.8831787
10646.19458,276.7804565
10656.65591,276.7804565
10667.11724,274.7017822
10677.57858,283.1577759
10688.03991,286.5450134
10698.50124,278.5465698
10708.96258,281.7364502
10719.42391,281.7364502
10729.88524,282.9032593
10740.34657,280.6272583
10750.80791,283.4871826
10761.26924,284.9663086
10771.73057,284.9663086
10782.19191,280.2094421
10792.65324,280.8146362
10803.11457,281.7052612
10813.57591,281.2471619
